FECHA,VEHICULO,MATRICULA,INFRACCION,ARTICULO,ORDENANZA,AGENTE INTERVINIENTE,BOLETA DE CONTRAVENCION,COMPROBANTE DE PAGO,EVIDENCIA,OBSERVACION
10/07/2023,VOLKSWAGEN,   ASY2F86,,"ART, 145,","ORD, 020/2022",SALINAS,49131,,,
10/07/2023,AUDI,AAHF357,,"ART, 145,","ORD, 020/2022",SALINAS,,,,
10/07/2023,TOYOTA,CCX 889,,"ART, 141, INC, 5,","ORD, 020/2022",LUIS,48508,,,
10/07/2023,TOYOTA,CEN 691,,"ART, 145,","ORD, 020/2022",SALINAS,35385,,,
10/07/2023,MAZDA,AAEX 009,,"ART, 145,","ORD, 020/2022",LETICIA,49130,,,
10/07/2023,MOTOCICLETA,BBU9J76,,"ART,145,","ORD, 020/2022",,63106,2023-26-2490,,
10/07/2023,MOTOCICLETA,031  BPT,,"ART, 145,","ORD, 020/2022",GARAY,63105,2023-26-2505,,
10/07/2023,MOTOCICLETA,827 HGU,,"ART, 145,","ORD, 020/2022",GARAY,63104,2023-26-2536,,
10/07/2023,TOYOTA ,KAA 699,,"ART, 145,","ORD, 020/2022",GARAY,63103,,,
10/07/2023,TOYOTA,RJJ7D53,,"ART, 145,","ORD, 020/2022",GARAY,63102,,,
10/07/2023,CAMIONCITO ,AAAR 234,,"ART, 145,","ORD, 020/2022",ARECO,45846,,,
10/07/2023,MOTOCICLETA,648 AABO ,,"ART, 145,","ORD, 020/2022",GARAY,63107,2023-26-2499,,
10/07/2023,TOYOTA,CEC 514,,"ART, 145,","ORD, 020/2022",ARECO,45845,2023-26-2637,,
10/07/2023,TOYOTA ,XBE 234,,"ART, 145,","ORD, 020/2022",ARECO,45844,,,
10/07/2023,VOLKSWAGEN ,OSV 610,,"ART, 145,","ORD, 020/2022",ARECO,45842,,,
10/07/2023,TOYOTA,AACU666,,"ART, 145,","ORD, 020/2022",VILLALVA,39446,,,
10/07/2023,TOYOTA,AAEL 571,,"ART, 145,","ORD, 020/2022",ORTIZ,,2023-26-2508,,
10/07/2023,KIA,CDS 141,,"ART, 145,","ORD, 020/2022",GARAY,47299,,,
10/07/2023,TOYOTA,CBK225,,"ART, 36,","ORD, 020/2022",GARAY,47300,2023-26-2468,,
10/07/2023,CAMIONCITO ,AAMX869,,"ART, 145, INC,19,2,","ORD, 020/2022",SANCHEZ,47860,2023-26-2457,,
10/07/2023,CHEVROLET,QMX4G01,,"ART, 145,","ORD, 020/2022",LETICIA,49129,,,
10/07/2023,AUTOMOVIL,CEN 967,,"ART, 145,","ORD, 020/2022",BARZALA,36586,,,
10/07/2023,FURGON,AAKR 376,,"ART, 145,","ORD, 020/2022",BARZALA,36587,,,
10/07/2023,CAMIONETA ,CDA 735,,"ART, 145,","ORD, 020/2022",BARZALA,36584,2023-26-2640,,
10/07/2023,MOTO , 321 BSF,,"ART,61, INC16,","ORD, 020/2022",ARECO,45843,2023-26-2666,,
10/07/2023,CHEVROLET,CCD 680,,"ART, 145,","ORD, 020/2022",CUEVA ,48141,,,
10/07/2023,HYUNDAI,BAU1I16,,"ART, 145,","ORD, 020/2022",BARZALA,36585,,,
10/07/2023,AUTOMOVIL,AACU 206,,"ART, 145,","ORD, 020/2022",JUAN ,45452,2023-26-2693,,
10/07/2023,KIA,CAT 101,,"ART, 145,","ORD, 020/2022",BARZALA,36578,,,
10/07/2023,AUTOMOVIL,CDD 763,,"ART, 145,","ORD, 020/2022",BARZALA,36580,,,
10/07/2023,FURGON ,CBJ 813,,"ART, 145,","ORD, 020/2022",BARZALA,36579,,,
10/07/2023,TOYOTA,AANX 393,,"ART, 145,","ORD, 020/2022",CARDOZO,35926,,,
10/07/2023,HYUNDAI ,BOU 813,,"ART, 145,","ORD, 020/2022",CARDOZO,35925,,,
10/07/2023,MOTOCICLETA,BAH8024,,"ART, 145,","ORD, 020/2022",GARAY,63101,2023-26-2479,,
10/07/2023,TOYOTA,AACR 097,,"ART, 145,","ORD, 020/2022",CUEVA ,48140,,,
10/07/2023,RENAULT ,BFL 381,,"ART, 145,","ORD, 020/2022",CUEVA ,48139,2023-27-3260,,
10/07/2023,FIAT,AC410LJ,,"ART, 145,","ORD, 020/2022",BARZALA,36582,,,
10/07/2023,TOYOTA ,CDT 440,,"ART, 145,","ORD, 020/2022",LUIS,48507,2023-26-3085,,
10/07/2023,AUTOMOVIL,EJF9122,,"ART, 145,","ORD, 020/2022",BARZALA,36581,,,
10/07/2023,LEOPARD,427 AAIN ,,"ART, 61, INC, 16,","ORD, 020/2022",MIGUELI,46176,2023-27-2841,,
10/07/2023,CHEVROLET,ORZ 609,,"ART, 145,","ORD, 020/2022",MIGUELI,46175,,,
10/07/2023,HONDA,AYR4D71,,"ART, 145,","ORD, 020/2022",MIGUELI,46173,,,
10/07/2023,KIA,AALN 431,,"ART, 145,","ORD, 020/2022",MIGUELI,46172,2023-26-3089,,
10/07/2023,TOYOTA,CFH 482,,"ART, 145,","ORD, 020/2022",CRISTHIAN ,47381,,,
10/07/2023,HONDA ,AYZ5956,,"ART, 145,","ORD, 020/2022",CUEVA ,48138,2023-25-1646,,
10/07/2023,AUTOMOVIL,AAJG 976,,"ART, 145,","ORD, 020/2022",JOSUE,46118,,,
10/07/2023,TOYOTA,AAJG 237,,"ART, 145, ","ORD, 020/2022",YANICE,49497,2023-27-3568,,
10/07/2023,HYUNDAI,CCL 293,,"ART, 145,","ORD, 020/2022",CARDOZO,45790,,,
11/07/2023,KIA,WOBR 183,,"ART, 145,","ORD, 020/2022",ARECO,45847,2024-25-4975,,
11/07/2023,TOYOTA ,AAHH 692,,"ART, 145,","ORD, 020/2022",ARECO,45848,,,
11/07/2023,BMW,WBZB522,,"ART,145,","ORD, 020/2022",ARECO,45850,,,
11/07/2023,MOTOCICLETA,924 AABP ,,"ART, 36,","ORD, 020/2022",BARZALA,45738,,,
11/07/2023,CAMIONETA ,AALD 865,,"ART, 145,","ORD, 020/2022",BARZALA,45739,,,
11/07/2023,CAMIONETA ,CCF 010,,"ART, 145,","ORD, 020/2022",BARZALA,45743,,,
11/07/2023,MOTO,AAJV 390,,"ART, 25, INC, 4,","ORD, 020/2022",BARZALA,45744,,,
11/07/2023,TOYOTA,CCZ 601,,"ART, 145,","ORD, 020/2022",BARZALA,45745,,,
11/07/2023,TOYOTA,CEL 491,,"ART, 141, INC, 5,","ORD, 020/2022",ORTIGOZA,63251,,,
11/07/2023,KIA,AAMH 768,,"ART, 1,","ORD, 17/11,",CARDOZO,45945,2023-27-2845,,
11/07/2023,HYUNDAI,BLR 607,,"ART, 145,","ORD, 020/2022",CARDOZO,45946,,,
11/07/2023,TOYOTA ,ABZ 381,,"ART,61, INC16,","ORD, 020/2022",CARDOZO,45947,,,
11/07/2023,HYUNDAI ,BKB 265,,"ART, 1,","ORD, 17/11,",GONZALEZ,47464,2023-27-2859,,
11/07/2023,KIA,AAIC 903,,"ART, 145,","ORD, 020/2022",GONZALEZ,47382,,,
11/07/2023,FURGON ,CBP 133,,"ART, 145,","ORD, 020/2022",JONNY,47334,,,
11/07/2023,FURGON,AAJB 847,,"ART, 145,","ORD, 020/2022",JONNY,47335,2023-27-3434,,
11/07/2023,TOYOTA,XBE 898,,"ART, 145,","ORD, 020/2022",JONNY,47336,,,
11/07/2023,CAMIONETA ,GAA 782,,"ART, 145,","ORD, 020/2022",LOPEZ,48248,,,
11/07/2023,TOYOTA ,CCA 547,,"ORD, 17/11, ART,1, ","ORD, 020/2022, ART, 145",SALINAS,35387,,,
11/07/2023,TOYOTA,AAHA 983,,"ART,61, INC16,","ORD, 020/2022",SALINAS ,35388,,,
11/07/2023,MOTOCICLETA, 597 AAFM,,"ART, 25, INC, 4,","ORD, 020/2022",GONZALEZ,38417,2023-27/2856,,
11/07/2023,HYUNDAI,HFB 272,,"ART, 145,","ORD, 020/2022,",FRETES,35042,,,
11/07/2023,TOYOTA ,BBK 563,,"ART, 145,","ORD, 020/2022",FRETES,35043,,,
11/07/2023, TRANSPORTE PUBLICO,CCV 970,,"ART, 36, ART, 40,","ORD, 020/2022",GARAY,63108,,,
11/07/2023,MOTOCICLETA, 291 AANS,,"ART, 39","ORD, 02/200",GARAY,63109,2023-26-2494,,
11/07/2023,TRANS. PUBLICO,OBE 854,,"ART,36, ART,91, INC, 19,","ORD, 020/2022",GARAY,63110,2023-26-2528,,
11/07/2023,KENTON,586 BZJ ,,"ART, 39,","ORD, 02/200",GARAY,63111,2023-26-2523,,
11/07/2023,MOTOCICLETA, 417 AANX,,"ART,145, INC,19,2,","ORD, 020/2022",GARAY,63112,2023-6-31231,,
11/07/2023,TOYOTA ,AAHH 063,,"ART,52 INC,A,","ORD, 70 / 97",GARAY,63113,2023-27-2849,,
11/07/2023,TOYOTA,CEX 787,,"ART, 145,","ORD, 020/2022",CARDOZO,45791,,,
11/07/2023,HYUNDAI,OBZ 203,,"ART, 145,","ORD, 020/2022",FAUSTO,45126,,,
11/07/2023,NISSAN ,AAMJ 523,,"ART, 145,","ORD, 020/2022",FAUSTO,45125,,,
11/07/2023,TOYOTA ,CDX 661,,"ART, 141, INC, 5,","ORD, 020/2022,",FAUSTO,45124,,,
11/07/2023,TOYOTA,CGC 406,,"ART, 145,","ORD, 020/2022,",ARECO,45849,,,
11/07/2023,FIAT,AAFZ 785,,"ART, 145,","ORD, 020/2022,",JACQUELINE,49616,,,
11/07/2023,MERCEDEZ,BRT 168,,"ART, 1,","ORD, 17/11",SANCHEZ,47862,2023-27-2851,,
12/07/2023,TOYOTA,AAND 555,,"ART, 145,","ORD, 020/2022",GONZALES,35233,2023-26-2634,,
12/07/2023,TOYOTA ,CBH 708,,"ART, 145,","ORD, 020/2022,",CARDOZO,45948,2023-26-2689,,
12/07/2023,TOYOTA ,HDG 903,,"ART, 145,","ORD, 020/2022",CARDOZO,45949,2024-25-510,,
12/07/2023,TOYOTA,CFK816,,DESACATO,"ORD, 020/2022,",LOPEZ,46802,,,
12/07/2023,IZUSU,CAL 704,,"ART, 145,","ORD, 020/2022,",FAUSTO,45128,,,
12/07/2023,TOYOTA,CCP 950,,CEPO,"ORD, 020/2022,",FAUSTO,45127,2023-27-2871,,
12/07/2023,TOYOTA,CFF 405,,"ART, 145,","ORD, 020/2022,",GONZALEZ,38419,2023-26-2689,,
12/07/2023,TOYOTA,AAKZ 880,,"ART, 145,","ORD, 020/2022",GUSTAVO,36665,2023-27-2863,,
12/07/2023,MITSUBISHI ,AAFN 845,,"ART, 145,","ORD, 020/2022",BARZALA,45750,,,
12/07/2023,HYUNDAI,AAKE 667,,"ART, 145,","ORD, 020/2022",BARZALA,45749,,,
12/07/2023,AUTOMOVIL,CEU 732,,"ART, 145,","ORD, 020/2022,",BARZALA,45748,,,
12/07/2023,TOYOTA ,AAGS 758,,"ART, 145,","ORD, 020/2022,",BARZALA,45747,,,
12/07/2023,TOYOTA,AAFN 681,,"ART, 145,","ORD, 020/2022,",BARZALA,45746,2023-26-2953,,
12/07/2023,VOLKSWAGEN,QJD7G58,,"ART, 145,","ORD,020/2022,",ORTIGOZA,63253,,,
12/07/2023,HYUNDAI,PSK9E55,,"ART, 145,","ORD, 020/2022",ORTIGOZA,63254,,,
